Wavelength;01-Jul-2019 06:15:00;01-Jul-2019 06:45:00;01-Jul-2019 07:15:00;01-Jul-2019 07:45:00;01-Jul-2019 08:15:00;01-Jul-2019 08:45:00;01-Jul-2019 09:15:00;01-Jul-2019 09:45:00;01-Jul-2019 10:15:00;01-Jul-2019 10:45:00;01-Jul-2019 11:15:00;01-Jul-2019 11:45:00;01-Jul-2019 12:15:00;01-Jul-2019 12:45:00;01-Jul-2019 13:15:00;01-Jul-2019 13:45:00;01-Jul-2019 14:15:00;01-Jul-2019 14:45:00;01-Jul-2019 15:15:00;01-Jul-2019 15:45:00;01-Jul-2019 16:15:00;01-Jul-2019 16:45:00;01-Jul-2019 16:45:00
406.879;95.3711909;227.1722713;372.7007281;514.3070040;657.3856488;779.3957153;896.2847778;1024.6586886;1152.8738835;1260.3539183;1334.5310484;1373.9821569;1425.7871909;1428.7628346;1428.0681213;1417.1972385;1363.5692736;1322.7517155;1254.9390112;1151.7979186;1029.2093015;893.8683492;765.9613915
407.534;96.7997991;229.0178043;377.9948946;518.4321046;666.9470613;786.3398669;906.8680653;1030.7836299;1156.7499672;1268.5393074;1339.4551843;1391.5795841;1442.2441436;1456.3173750;1432.9181458;1431.7769538;1384.6219622;1331.1956705;1262.8525286;1160.0305531;1033.5186219;903.3356950;770.0833732
408.190;97.6430870;231.4658518;383.7851813;525.9865144;666.3580552;791.6248476;921.8843576;1037.2374181;1180.3294995;1278.6143613;1358.4023531;1402.0979629;1450.3948789;1473.7346400;1454.5063268;1443.2421281;1393.9387304;1341.8875229;1270.9422711;1172.0762701;1043.3780458;914.8671647;777.7736445
408.845;97.1881114;234.0825354;380.2219892;530.1960269;671.6967783;799.4223658;923.2637101;1045.8965034;1184.2444379;1298.4190716;1366.6567681;1409.7001841;1466.1026647;1475.7796179;1466.8528207;1448.5642510;1402.0066555;1363.2637153;1274.0365378;1167.5250740;1042.5392445;921.8209536;776.5235588
409.501;98.7427265;233.9974987;383.8452741;532.1543239;679.2992706;799.0287063;923.1178281;1052.4032929;1191.8079285;1295.8705970;1377.4718082;1416.1956824;1459.3519509;1484.1317290;1480.7861004;1460.3043830;1411.7935244;1362.7896220;1272.9113376;1176.0263241;1055.4432376;926.7059359;781.3457090
410.157;99.4971663;234.7423842;386.5758692;531.1244159;681.3365882;818.0099042;930.1040278;1059.3128451;1181.0340960;1298.5768040;1383.1477423;1429.8365731;1467.2154862;1485.4611094;1493.8077126;1458.7159069;1419.3445968;1365.3830375;1295.6778979;1186.3832116;1058.3298066;931.2226275;785.1263457
410.812;99.4940080;239.0299925;389.0672857;537.9959007;680.9921999;817.4727589;934.2189370;1064.6502688;1201.6613881;1315.0296654;1397.2173459;1449.8268092;1484.4487699;1497.9483975;1494.9345072;1481.1331625;1432.6670006;1384.3626046;1294.6190277;1193.1118253;1072.3934421;942.3693917;790.5018952
411.468;101.4613748;242.8208828;395.7249767;546.0413781;689.5655847;825.6395390;961.1485977;1086.3798400;1219.3746493;1341.9061274;1410.3669295;1460.7098501;1503.3727348;1520.8953680;1510.8688096;1504.0398702;1450.4243863;1405.8241549;1325.7491202;1208.2566698;1087.5513837;946.4182554;805.3391259
412.123;101.5776383;244.2944399;399.6713991;552.9939264;704.5812847;834.9145244;960.4792156;1094.5312430;1236.2073297;1350.6163103;1416.9168510;1480.1681749;1521.1335927;1543.9522040;1543.0081616;1532.5197358;1470.2684214;1419.8679520;1336.8871619;1226.1466853;1098.0793157;966.6688992;815.8781098
412.779;103.4446784;246.7960056;401.5985512;558.3154206;708.5157802;838.6771014;976.0210690;1108.0856774;1246.1175358;1362.1283732;1442.5906177;1483.6440334;1539.1534365;1557.5013592;1551.7103113;1524.5292971;1484.6961401;1431.1943769;1346.4475622;1239.6630761;1104.6260896;969.6698848;819.7183303
413.434;104.1202854;246.8495232;406.0984606;559.4870339;710.2827849;847.6717864;980.1813011;1107.9115811;1250.4022517;1360.3613037;1440.6237005;1492.7859472;1535.8967790;1563.9190317;1564.4730664;1530.3908272;1485.3586794;1443.7877495;1355.8929883;1247.1252007;1117.0636512;980.3771955;829.1917976
414.090;103.5288656;247.6871928;405.9647400;559.4421259;710.5255902;846.4743832;977.3034565;1117.7764293;1246.5845299;1362.3989438;1441.9748395;1506.9391535;1551.6373918;1560.7507237;1547.5537588;1531.3253023;1484.2376380;1445.0885256;1359.5019707;1246.3946744;1108.4307895;975.7453791;826.2301005
414.746;103.2767731;247.2029781;403.9353821;562.6506733;708.8080155;848.6505907;969.0866188;1109.8060089;1249.8498549;1358.1949415;1449.7346490;1502.3178310;1546.0024912;1570.2595382;1554.8556075;1532.2824448;1491.4116817;1441.5780248;1348.4274666;1243.7572711;1123.8518771;969.5342506;825.1479962
415.401;102.6456220;245.2566219;404.3906882;563.1925196;708.6453641;849.4866071;969.2717524;1107.8466927;1233.6263103;1367.3127442;1441.0653771;1493.1505945;1538.1312533;1569.6757646;1556.8028118;1530.9612926;1479.9892065;1435.1511067;1352.0008406;1229.5590673;1110.3998527;970.5216956;821.4352753
416.057;103.6136299;245.8586796;401.8952036;558.0596388;704.7203625;837.9613992;972.0100956;1104.1351131;1236.0026605;1354.4504029;1433.1305509;1487.0100287;1523.1014032;1560.6891355;1541.8462301;1528.9637627;1466.3110030;1424.1831303;1341.9385883;1239.0174908;1103.2021696;957.3867256;817.4705222
416.712;102.7673360;243.5642886;399.0415980;551.4951391;706.9000832;838.6484809;966.0465870;1097.9465238;1239.4365747;1354.1107493;1429.2516634;1485.2426173;1523.3179371;1559.6766818;1539.6222960;1517.8061203;1472.9799856;1420.0650093;1341.8257599;1228.1529222;1096.9359040;969.7538431;815.8663151
417.368;102.4593199;244.1097372;397.8980646;552.9601672;701.7041918;835.2092084;964.5033321;1087.5684529;1227.5078530;1353.5999344;1415.3921511;1475.1437214;1530.0728713;1541.2887668;1538.4287566;1508.8608450;1461.6903055;1415.6799987;1326.3989163;1223.7757811;1085.3466705;957.9431229;814.2457699
418.023;101.5709330;240.6118815;398.8974862;550.3307448;697.9370597;829.4538142;961.3559414;1089.8647714;1229.0928945;1338.1522044;1411.6925100;1472.7043077;1519.4414277;1530.1943834;1531.8529441;1508.6383888;1458.4188163;1421.4195409;1328.6681904;1217.8969065;1089.1033602;959.6606766;811.4759921
418.679;101.4030497;242.5985114;398.7392020;552.1665457;698.6565586;831.3360446;958.3684576;1099.5131884;1223.1705167;1340.4668641;1414.3708467;1462.9568562;1508.7539518;1534.2540260;1530.2749884;1508.3641352;1457.2527041;1415.4441696;1330.2092781;1209.8475708;1091.0374262;958.8791816;806.7531579
419.335;101.2513650;242.8786066;397.2032565;551.0560761;694.1157154;833.6014062;956.5493564;1088.6812135;1234.7229010;1341.0290231;1417.0515043;1472.8590616;1520.3498472;1537.6212931;1520.8165965;1507.7840488;1459.5614401;1411.4991987;1336.1244355;1222.1952183;1095.9757847;959.4654620;812.8618723
419.990;101.5183554;244.8034292;396.4580863;557.2284627;698.2867099;838.5627002;970.0001348;1092.4411798;1237.0149044;1362.1896169;1419.1039524;1480.9499624;1516.5469630;1536.7747609;1539.1575225;1512.4011193;1469.2823638;1418.7277549;1340.2498025;1221.7398521;1104.7271492;965.6376030;811.8053717
420.646;102.5607955;244.2252796;402.9882631;555.5399490;703.2010430;835.1257266;966.8081013;1098.2370246;1232.2032403;1342.7272150;1424.2340012;1494.3701566;1518.8141877;1549.1988652;1541.0351970;1525.8159193;1476.2502701;1424.7682810;1328.1040200;1229.8481892;1105.3835202;964.9996797;823.1379585
421.301;102.7236539;244.2900544;400.7320380;552.8434832;707.0683844;844.1110317;964.9129953;1101.3133885;1237.4295746;1352.1016865;1443.0969866;1485.0329764;1531.0540384;1561.2954781;1553.4246941;1519.2235556;1486.8937456;1419.8150798;1347.7015564;1237.0963585;1104.2771870;975.0184168;819.4337101
421.957;102.3227975;244.5736375;401.3917640;556.0762881;704.2484799;830.7051053;963.3044964;1095.4751528;1236.5293217;1337.4648105;1419.4808613;1475.2669262;1524.8516912;1544.9414700;1535.0117025;1516.6325758;1473.9519175;1422.3172283;1343.9819296;1222.9150130;1102.6505058;965.3599913;815.8459475
422.613;101.7340998;241.6396487;393.9649739;548.6036479;699.7856499;829.0104637;958.4057235;1081.8436419;1224.3335584;1341.5563264;1422.2595384;1467.1831074;1499.9277888;1524.6900660;1520.0501116;1503.0054306;1463.9468322;1410.8960580;1339.6397617;1209.4526209;1086.4892405;958.1286018;806.1861966
423.268;100.5602838;238.7988247;394.7036096;544.6842631;689.2783468;824.2822236;953.0897550;1085.9953384;1211.6140251;1326.1884732;1403.0993969;1454.7528940;1496.9813983;1517.3622104;1514.4262885;1491.4766703;1438.7524442;1399.2392717;1320.7185725;1201.1156526;1079.5938079;949.1884825;795.1565251
423.924;99.9992213;236.7542595;387.7523914;535.3450266;686.0447544;814.6690245;951.9684506;1083.5762386;1208.5877055;1305.0538089;1392.9316268;1452.8876449;1488.3228819;1515.4590515;1504.0310436;1492.8684131;1436.4314583;1389.1911349;1307.7844690;1204.4368722;1075.2991468;943.2597293;790.1893367
424.579;99.3092600;237.3368245;392.3598564;542.5732972;680.2052463;818.8830894;947.4623451;1072.5495249;1198.2981269;1309.7989165;1384.3714108;1447.7661356;1486.3181433;1513.5025061;1499.4112645;1488.7645251;1426.2771893;1390.3325815;1299.5646789;1192.3304145;1074.4982742;941.2380109;795.0860635
425.235;99.8714790;236.6738401;386.6157277;536.5984725;679.4363731;809.9103887;931.8540377;1056.6264262;1199.6535021;1310.4984967;1381.3286872;1445.4018047;1483.1285591;1509.2078250;1497.1503112;1474.7980864;1423.9425950;1377.0825257;1299.0487094;1191.9378145;1068.0586948;930.5293866;795.0730576
425.890;99.1756374;235.1711859;386.4376603;538.7835866;682.6094223;810.7259356;937.8390289;1060.5882399;1184.9529220;1301.1380931;1375.1311023;1433.2021131;1467.9464644;1487.4313850;1478.8271707;1472.2320090;1413.9293415;1369.0939954;1295.6004479;1187.8309660;1061.5458263;928.4460928;789.2906709
426.546;98.1878189;233.1480796;383.4942086;529.2338771;671.0967932;797.4690970;924.8214376;1053.3928529;1182.9420109;1290.6408054;1371.1822121;1421.2130468;1455.5088549;1485.9854292;1470.3559124;1455.0091403;1400.3109019;1359.0374606;1284.7222066;1173.8283774;1053.9734420;919.1797082;784.1282815
427.202;97.2637515;229.8331393;381.2178688;522.3358855;665.3295143;787.5403154;916.2694711;1040.7087520;1157.9496941;1275.1123221;1347.7703430;1400.2034723;1437.4475576;1460.7972645;1443.2352406;1425.0774447;1392.1693465;1344.2979758;1263.4194394;1161.4025867;1033.7043963;908.6988304;771.7957171
427.857;94.5372490;224.9154991;370.0440632;514.0624383;646.4303935;774.9928474;885.9734681;1012.1668088;1147.8447545;1257.2043755;1324.3833104;1373.9778296;1405.9830651;1433.1716161;1426.4362815;1407.3412633;1361.6633307;1316.3503630;1246.0095733;1143.1557883;1015.6855915;891.6003463;754.6358977
428.513;91.5861083;220.0765518;357.1877037;500.0594465;628.2128619;753.1246957;870.5425739;985.3217332;1108.2161018;1219.3266646;1290.3316110;1332.1161918;1383.1697033;1385.2156035;1377.3732035;1362.9048797;1313.5636039;1279.0380194;1205.9945047;1111.7915442;995.7570429;864.6286501;731.5295835
429.168;88.5875526;213.0403658;347.3723482;481.5254087;615.3711561;724.0167975;846.3443167;955.4390583;1080.6518048;1177.3399774;1249.8711196;1292.2010288;1321.7484375;1360.3604911;1346.1462550;1325.6291868;1292.3180171;1247.3602420;1169.9185918;1067.0758904;959.1796960;837.3129038;720.0856062
429.824;87.4508281;209.2954223;339.3542816;473.4210010;605.1613765;721.7518183;821.8807814;939.8477265;1058.9690433;1146.5928151;1226.5681805;1265.5389856;1306.3896317;1318.8209119;1318.7696448;1296.6580055;1256.7482240;1220.8149014;1135.5247430;1053.9265191;941.3104202;828.0180454;697.5050675
430.479;87.1820152;208.9187539;342.4489010;472.4361644;600.9343905;713.6416954;827.3828053;941.8571093;1052.5577415;1147.7635733;1222.5601258;1269.4764184;1302.7019545;1326.9816685;1307.5591232;1299.8695542;1256.6342596;1222.5511659;1150.6059797;1045.4387778;937.8377166;826.8765284;691.0511179
431.135;89.3571500;213.8138191;350.1647237;483.2878748;609.0872836;732.0892671;842.1513606;962.1289244;1066.5949469;1176.6800961;1245.1061506;1287.8955941;1332.0302057;1351.7060592;1337.1197124;1323.7584961;1286.9686845;1242.0747592;1174.1652705;1065.6257044;956.6817152;836.1390977;709.7575898
431.791;92.0294469;222.0239656;364.9497163;499.3393890;636.1770445;752.7906682;879.3482796;990.4713310;1111.8177132;1218.2727187;1290.0622741;1327.7361256;1373.9042584;1404.8529560;1368.7438328;1366.0323798;1322.0104785;1278.7765397;1217.0904745;1102.7804825;990.4771825;871.8402117;732.7035909
432.446;95.7452301;227.1718941;374.3256076;514.7884548;657.1576222;780.4476690;897.9100015;1022.4330889;1150.8998946;1258.7514305;1329.8421234;1384.3153085;1421.3766910;1439.6485278;1432.1770240;1407.1440793;1366.7718867;1314.0762739;1238.1764184;1147.6438149;1029.0872023;901.3559242;756.2051583
433.102;97.2303446;232.1235388;379.9106478;532.4333866;670.9266312;795.6143691;921.5475082;1050.4495641;1174.5907774;1288.8375230;1354.8176567;1421.4344936;1462.9790612;1476.4708134;1472.7483067;1461.8808826;1413.0370137;1356.4838751;1271.8180873;1172.5939220;1054.5649361;923.5718078;779.9190097
433.757;99.3515933;237.3000446;389.3753542;540.5470136;682.1416127;818.3620386;940.3183601;1062.5610486;1207.6488655;1302.4703239;1384.1307412;1442.8611691;1477.8650877;1501.1588414;1489.3657999;1473.2232782;1434.9782266;1381.7240220;1301.5357902;1201.5708477;1066.9540468;932.2660397;795.9449271
434.413;100.8757494;243.3804163;397.9835695;547.6068153;697.6512755;822.4422051;959.2919679;1091.6779187;1221.9557757;1333.9913722;1431.6532019;1463.7369773;1514.5546993;1526.6904736;1530.6612996;1497.5512226;1458.2320979;1404.3605323;1332.4466370;1220.7961775;1086.9467274;952.6560371;809.4519882
435.068;103.7071022;244.9620941;406.6629042;557.1975727;705.1247030;837.3033456;971.7164506;1110.9335937;1244.0331250;1352.7754759;1444.5586794;1485.7088806;1549.3090293;1562.7700846;1557.6358408;1533.7374679;1478.3310257;1443.8879069;1344.2893741;1242.3826321;1110.6674490;967.4470014;825.6476034
435.724;104.7514720;250.4868528;411.3895458;568.3216720;720.9862553;859.4867439;989.0772792;1121.3770845;1268.0686252;1385.7833097;1473.1582241;1518.2263507;1569.0415674;1585.2284039;1572.7664968;1561.4549276;1495.2943371;1451.1643970;1387.1282396;1255.8844335;1124.4637303;983.2064858;837.6855078
436.380;106.9424333;251.5316695;417.4539172;574.9775430;729.8260720;868.6619926;1004.3612367;1140.2584523;1275.5523863;1391.7160192;1482.5295536;1534.4573226;1579.7282030;1602.5062299;1595.7761058;1589.8594379;1519.9964084;1462.9152889;1388.9229796;1265.5795292;1142.2139138;997.3842814;839.7839973
437.035;105.2899890;254.7229261;414.0389741;574.9403396;726.6293712;874.3873244;999.8368498;1140.0634919;1277.6338278;1397.7447363;1485.7119193;1541.9497475;1581.5700527;1607.1071161;1596.7404630;1577.6161742;1528.5129114;1477.8430691;1383.2700574;1276.8513327;1136.2873215;1003.0772562;848.4211728
437.691;105.1419066;251.0120435;412.7591542;572.3454367;725.6869832;866.7242003;993.6770687;1131.5026053;1271.0547188;1390.7138822;1469.3730201;1522.1249813;1571.0384542;1587.4012350;1580.8552084;1565.5731011;1517.2663780;1470.5697695;1372.9173400;1267.3949489;1137.2830542;993.9540129;839.1969301
438.346;105.3384933;250.4471275;412.3191078;573.9696310;717.6309019;856.2947894;990.7883396;1124.1390264;1268.2704576;1385.3261280;1472.8206675;1512.1669058;1560.6402817;1586.8475300;1573.3121716;1555.0311107;1506.2871142;1462.8318817;1380.4015137;1260.7086359;1117.4368107;993.5595541;832.1132265
439.002;105.6312666;250.7260123;408.0855882;571.1196245;713.1631147;859.2405083;991.2309759;1131.2864817;1272.1357455;1381.3260703;1460.5682789;1521.6639485;1563.7569419;1587.7206372;1574.9863650;1559.6155112;1509.4182718;1455.4643416;1378.4256703;1266.0142115;1128.5066680;983.3637465;834.6163984
439.658;106.1715644;252.7613948;413.4476223;578.3995751;725.1579075;871.0481131;998.0543933;1136.7297005;1278.4264390;1387.4623210;1479.8655394;1522.6914122;1582.0702121;1620.2011281;1593.8894621;1577.3631452;1512.9908114;1469.6287626;1387.2593224;1276.2951417;1138.8086221;995.7128169;845.4437576
440.313;107.2216484;255.8638303;420.5613386;584.9022294;734.1140489;884.1095221;1018.9741493;1152.1053416;1291.5374406;1415.5886845;1508.8096928;1543.1333321;1601.2311191;1623.6515054;1609.8925016;1593.9390520;1543.2196663;1487.5366258;1406.0366659;1280.9868992;1155.2758926;1000.1797195;860.4308250
440.969;109.6705328;260.0623246;424.4503811;589.9902165;745.0167358;893.5901691;1024.5063623;1167.9499346;1310.4439405;1440.4016681;1527.2077141;1589.6837702;1614.9003554;1650.8235183;1642.5195191;1618.0745913;1576.4028458;1526.7158097;1428.5591920;1308.8811117;1178.3724946;1029.1330816;872.1560387
441.624;110.4023658;265.5024922;432.9270271;597.6911101;758.1507588;905.1830018;1048.3619761;1185.7502010;1347.9949453;1464.5718016;1545.1168658;1614.7126982;1640.8768323;1675.3130001;1668.9134389;1650.8508056;1590.0691243;1537.8999579;1463.1303388;1324.9462873;1187.7833189;1043.1679754;882.3836518
442.280;111.6522973;269.2282471;442.6831493;606.7476126;771.6569111;918.8727351;1055.0970705;1200.7266368;1356.9101679;1481.4625994;1568.3321700;1615.7777294;1689.9451862;1695.2907220;1686.0974129;1675.7082807;1620.2246442;1557.3247261;1466.0411002;1342.0720937;1212.2977630;1054.3774691;895.0812549
442.935;113.2976931;271.9017171;442.4026848;617.2755412;780.7310480;931.6784594;1085.6697323;1222.7161533;1370.3288246;1493.4718395;1582.8595860;1653.1322764;1695.4231838;1716.4671139;1716.6539148;1684.3663213;1620.7096974;1578.2504115;1480.7260574;1372.7909492;1222.0305378;1065.1350498;905.0819893
443.591;113.7960771;272.8678714;446.8608650;615.0853836;782.4920186;926.7413590;1077.4347294;1232.1466646;1374.9221226;1510.9586031;1587.9743378;1643.2254540;1693.2409706;1712.2005769;1706.3980131;1699.1642130;1633.7813878;1579.4385456;1502.9536899;1365.7610410;1235.4214453;1081.5037456;910.2003882
444.247;113.9882607;272.1153706;445.6285040;617.1897104;785.7519815;934.6914622;1071.7906143;1221.6967891;1385.4760822;1506.5668919;1591.0512975;1662.2933895;1706.6852808;1728.3955709;1729.6259362;1703.5703746;1650.6883900;1588.1597781;1489.8388098;1366.9212948;1228.1720069;1074.5435198;913.2864284
444.902;113.6114375;271.3988885;445.6976721;621.2503218;779.8878621;929.5378831;1079.3204948;1226.2776069;1368.6315952;1492.0852940;1597.1750923;1649.4169645;1697.4306858;1722.5828458;1718.2192512;1688.0740912;1621.8728728;1587.8418907;1487.0543981;1369.8643209;1222.5852359;1078.9375738;907.3641417
445.558;113.7909272;271.1391405;446.1054181;615.4790922;783.4020170;931.4440908;1070.7911178;1225.8889429;1378.1753054;1504.8432290;1591.2685227;1634.0687948;1695.6319663;1728.5968367;1708.3601657;1683.5680999;1634.2823728;1579.3765559;1488.2386938;1374.3879781;1221.5381148;1075.7592317;904.9161839
446.213;114.2867020;271.5873369;445.5574215;619.0914438;783.2897555;938.1403029;1087.2714211;1227.4395572;1372.6477024;1507.3851472;1601.8384461;1650.4671399;1719.4423506;1707.5792312;1725.9225527;1691.0473789;1643.9384254;1592.5181037;1486.2356116;1363.8580474;1238.4594348;1079.6481940;908.0181832
446.869;114.7256764;275.2865480;450.4338022;622.6563193;791.1886115;944.5393675;1086.4043292;1233.4152957;1385.9797693;1513.3171686;1613.0145833;1678.8507129;1721.4898248;1735.7709314;1735.0863818;1703.0033173;1656.1078696;1605.9484261;1508.7840034;1381.4939919;1245.2378576;1091.0132365;926.0577757
447.524;116.5719674;278.4879461;456.3356504;631.6025836;803.2869152;949.5417703;1094.6940780;1262.8505625;1408.1667630;1546.4648879;1637.1800509;1693.1145955;1746.1414616;1769.0241156;1753.2754399;1748.3645805;1681.4119937;1625.1655082;1522.4340280;1410.5939876;1258.4903682;1096.4868619;933.4537778
448.180;118.8592770;283.4332351;463.9119838;643.5341084;812.9215802;967.8497993;1113.4609005;1278.6929294;1435.4720890;1566.3372370;1647.1752132;1723.0458109;1770.2243008;1783.9321957;1795.5780458;1759.4906381;1686.5504676;1634.4484287;1542.9126455;1420.3441343;1268.3096593;1113.0430958;943.8205629
448.836;120.1040298;285.5672430;469.4265475;655.2421298;823.4712033;976.9996418;1132.8514651;1293.7802042;1452.2933714;1586.3877119;1677.2514265;1732.5984999;1781.1145232;1806.0011595;1808.5344596;1776.4158961;1725.3268110;1657.9942447;1565.3368152;1436.0475610;1291.3100575;1126.8472165;953.7784596
449.491;121.6556612;288.8858257;476.0914177;657.7696942;833.5401509;986.3142577;1140.6434175;1289.1225675;1477.4029901;1597.3432913;1680.7349608;1757.1517248;1819.0541270;1823.1685735;1821.8018678;1804.1637267;1740.4549079;1681.4001829;1583.8047992;1461.3957691;1303.9569605;1145.7338801;976.3685483
450.147;122.1314095;291.5038721;479.7946292;662.1206346;838.0230285;996.8191968;1156.2796030;1312.0289117;1478.3803642;1620.2616761;1716.7638796;1756.8433159;1831.5164835;1843.2184582;1828.2846460;1803.3764742;1755.7684008;1686.6163810;1592.6903278;1467.2976798;1320.3001696;1158.6028220;974.4592339
450.802;122.1530663;291.8955459;480.5453061;663.1467785;841.9977848;1005.3161284;1157.9953183;1310.7969336;1475.8951897;1619.2158641;1715.0369834;1776.0713899;1823.9626266;1851.7952635;1841.0286896;1824.9247531;1750.3289555;1708.4787441;1608.8179520;1466.8591618;1312.6567377;1156.9896180;977.8434173
451.458;121.9214663;291.0762464;478.7200489;664.1145018;839.1100124;991.0424039;1152.3085809;1310.3402820;1475.6149758;1611.8174068;1707.0124150;1753.5715513;1814.3582227;1833.1758691;1846.1050831;1805.9754175;1758.6728056;1701.5238967;1585.1972773;1459.4869959;1314.0159540;1145.8107062;972.4744112
452.114;120.6018406;289.1754906;471.5235973;660.0609468;836.4749309;984.2902943;1145.0757746;1295.7128801;1457.7480912;1600.2483123;1693.2416497;1744.1204855;1804.6687258;1838.1072042;1822.5457679;1815.9017046;1739.4942420;1689.3594439;1581.9142327;1458.9050008;1307.7177834;1145.9996573;965.0527544
452.769;120.4142159;285.4922634;466.2290080;654.1923666;827.8304061;977.1541602;1137.8278384;1293.5357485;1451.2284995;1592.7082756;1682.6931674;1740.1776038;1784.8088924;1821.2827459;1801.5704061;1766.5184368;1720.3524391;1673.5744639;1574.3668107;1433.4947465;1298.2774191;1138.9035171;962.5020838
453.425;120.3553624;284.4770894;464.9125386;649.1291582;825.7498081;976.1181056;1124.7275480;1281.8484863;1444.2934598;1586.3889790;1668.5659815;1726.4533109;1787.0817259;1807.6144387;1804.2255196;1785.8164614;1720.1941746;1661.0600056;1563.3240362;1438.5451377;1280.7129370;1129.8375867;956.5858198
454.080;119.8715531;285.3610174;469.9857358;647.0492988;825.5596187;979.9109407;1135.0037846;1273.4797902;1448.3341671;1582.4338841;1672.6998384;1727.4221152;1778.8403561;1799.0127563;1791.8887278;1769.7767295;1726.9271191;1665.4157220;1576.2858486;1442.7684175;1282.5190002;1125.1647411;950.3079332
454.736;120.9808184;287.8333924;469.1015837;650.7263073;827.6241338;982.2769196;1139.1974331;1286.4065775;1454.3592386;1605.3750212;1680.5259822;1736.1062564;1796.8195505;1816.8298551;1834.5694003;1784.9256718;1740.4875272;1664.7708248;1561.8506741;1432.8434535;1284.6470647;1135.9556432;958.1127734
